item,cond,comparative,repeatability,quantifier,ellipsis,additive,sentence,,,
1,1,illusion,non-repeatable,more,ellipsis,notjust,More girls graduated from high school last year than John did.,,,
1,2,illusion,non-repeatable,more,noellip,notjust,More girls graduated from high school last year than John graduated from college.,,,
1,3,illusion,non-repeatable,fewer,ellipsis,notjust,Fewer girls graduated from high school last year than John did. ,,,
1,4,illusion,non-repeatable,fewer,noellip,notjust,Fewer girls graduated from high school last year than John graduated from college.,,,
1,5,control,non-repeatable,more,ellipsis,notjust,More girls graduated from high school last year than boys did.,,,
1,6,control,non-repeatable,more,noellip,notjust,More girls graduated from high school last year than boys graduated from college.,,,
1,7,control,non-repeatable,fewer,ellipsis,notjust,Fewer girls graduated from high school last year than boys did.,,,
1,8,control,non-repeatable,fewer,noellip,notjust,Fewer girls graduated from high school last year than boys graduated from college.,,,
2,1,illusion,non-repeatable,more,ellipsis,notjust,This semester more foreign applicants got into Stanford than Marie did. ,,,
2,2,illusion,non-repeatable,more,noellip,notjust,This semester more foreign applicants got into Stanford than Marie got into Harvard.,,,
2,3,illusion,non-repeatable,fewer,ellipsis,notjust,This semester fewer foreign applicants got into Stanford than Marie did.,,,
2,4,illusion,non-repeatable,fewer,noellip,notjust,This semester fewer foreign applicants got into Stanford than Marie got into Harvard.,,,
2,5,control,non-repeatable,more,ellipsis,notjust,This semester more foreign applicants got into Stanford than Americans did. ,,,
2,6,control,non-repeatable,more,noellip,notjust,This semester more foreign applicants got into Stanford than Americans got into Harvard.,,,
2,7,control,non-repeatable,fewer,ellipsis,notjust,This semester fewer foreign applicants got into Stanford than Americans did.,,,
2,8,control,non-repeatable,fewer,noellip,notjust,This semester fewer foreign applicants got into Stanford than Americans got into Harvard.,,,
3,1,illusion,non-repeatable,more,ellipsis,notjust,More boys got an A on the exam yesterday than she did.,,,
3,2,illusion,non-repeatable,more,noellip,notjust,More boys got an A on the exam yesterday than she got a B on the assignment.,,,
3,3,illusion,non-repeatable,fewer,ellipsis,notjust,Fewer boys got an A on the exam yesterday than she did.,,,
3,4,illusion,non-repeatable,fewer,noellip,notjust,Fewer boys got an A on the exam yesterday than she got a B on the assignment.,,,
3,5,control,non-repeatable,more,ellipsis,notjust,More boys got an A on the exam yesterday than girls did.,,,
3,6,control,non-repeatable,more,noellip,notjust,More boys got an A on the exam yesterday than girls got a B on the assignment.,,,
3,7,control,non-repeatable,fewer,ellipsis,notjust,Fewer boys got an A on the exam yesterday than girls did.,,,
3,8,control,non-repeatable,fewer,noellip,notjust,Fewer boys got an A on the exam yesterday than girls got a B on the assignment.,,,
4,1,illusion,non-repeatable,more,ellipsis,notjust,Last month more couples had their second child than Sandra's sister did.,,,
4,2,illusion,non-repeatable,more,noellip,notjust,Last month more couples had their second child than Sandra's sister had her first child.,,,
4,3,illusion,non-repeatable,fewer,ellipsis,notjust,Last month fewer couples had their second child than Sandra's sister did.,,,
4,4,illusion,non-repeatable,fewer,noellip,notjust,Last month fewer couples had their second child than Sandra's sister had her first child.,,,
4,5,control,non-repeatable,more,ellipsis,notjust,Last month more couples had their second child than single parents did.,,,
4,6,control,non-repeatable,more,noellip,notjust,Last month more couples had their second child than single parents had their first child.,,,
4,7,control,non-repeatable,fewer,ellipsis,notjust,Last month fewer couples had their second child than single parents did.,,,
4,8,control,non-repeatable,fewer,noellip,notjust,Last month fewer couples had their second child than single parents had their first child.,,,
5,1,illusion,non-repeatable,more,ellipsis,notjust,More photographers won their third Pulitzer this year than the professor did.,,,
5,2,illusion,non-repeatable,more,noellip,notjust,More photographers won their third Pulitzer this year than the professor won his third Nobel.,,,
5,3,illusion,non-repeatable,fewer,ellipsis,notjust,Fewer photographers won their Pulitzer this year than the professor did.,,,
5,4,illusion,non-repeatable,fewer,noellip,notjust,Fewer photographers won their third Pulitzer this year than the professor won his third Nobel.,,,
5,5,control,non-repeatable,more,ellipsis,notjust,More photographers won their third Pulitzer this year than professors did.,,,
5,6,control,non-repeatable,more,noellip,notjust,More photographers won their third Pulitzer this year than professors won their third Nobel.,,,
5,7,control,non-repeatable,fewer,ellipsis,notjust,Fewer photographers won their third Pulitzer this year than professors did.,,,
5,8,control,non-repeatable,fewer,noellip,notjust,Fewer photographers won their third Pulitzer this year than professors won their third Nobel.,,,
6,1,illusion,non-repeatable,more,ellipsis,notjust,More gym instructors won a marathon yesterday than the lawyer did.,,,
6,2,illusion,non-repeatable,more,noellip,notjust,More gym instructors won a marathon yesterday than the lawyer won a triathlon.,,,
6,3,illusion,non-repeatable,fewer,ellipsis,notjust,Fewer gym instructors won a marathon yesterday than the lawyer did.,,,
6,4,illusion,non-repeatable,fewer,noellip,notjust,Fewer gym instructors won a marathon yesterday than the lawyer won a triathalon.,,,
6,5,control,non-repeatable,more,ellipsis,notjust,More gym instructors won a marathon yesterday than lawyers did.,,,
6,6,control,non-repeatable,more,noellip,notjust,More gym instructors won a marathon yesterday than lawyers won a triathlon.,,,
6,7,control,non-repeatable,fewer,ellipsis,notjust,Fewer gym instructors won a marathon yesterday than lawyers did.,,,
6,8,control,non-repeatable,fewer,noellip,notjust,Fewer gym instructors won a marathon yesterday than lawyers won a triathlon.,,,
7,1,illusion,non-repeatable,more,ellipsis,justme,More Americans began law school this week than Megan did.,,,
7,2,illusion,non-repeatable,more,noellip,justme,More Americans began law school this week than Megan began medical school.,,,
7,3,illusion,non-repeatable,fewer,ellipsis,justme,Fewer Americans began law school this week than Megan did.,,,
7,4,illusion,non-repeatable,fewer,noellip,justme,Fewer Americans began law school this week than Megan began medical school.,,,
7,5,control,non-repeatable,more,ellipsis,notjust,More Americans began law school this week than Canadians did.,,,
7,6,control,non-repeatable,more,noellip,notjust,More Americans began law school this week than Canadians began medical school.,,,
7,7,control,non-repeatable,fewer,ellipsis,notjust,Fewer Americans began law school this week than Canadians did.,,,
7,8,control,non-repeatable,fewer,noellip,notjust,Fewer Americans began law school this week than Canadians began medical school.,,,
8,1,illusion,non-repeatable,more,ellipsis,justme,This month more one-year-olds took their first steps than Sally did.,,,
8,2,illusion,non-repeatable,more,noellip,justme,This month more one-year-olds took their first steps than Sally said her first word.,,,
8,3,illusion,non-repeatable,fewer,ellipsis,justme,This month fewer one-year-olds took their first steps than Sally did.,,,
8,4,illusion,non-repeatable,fewer,noellip,justme,This month fewer one-year-olds took their first steps than Sally said her first word.,,,
8,5,control,non-repeatable,more,ellipsis,notjust,This month more one-year-olds took their first steps than 10-month-olds did.,,,
8,6,control,non-repeatable,more,noellip,notjust,This month more one-year-olds took their first steps than 10-month-olds said their first word.,,,
8,7,control,non-repeatable,fewer,ellipsis,notjust,This month fewer one-year-olds took their first steps than 10-month-olds did.,,,
8,8,control,non-repeatable,fewer,noellip,notjust,This month fewer one-year-olds took their first steps than 10-month-olds said their first word.,,,
9,1,illusion,non-repeatable,more,ellipsis,justme,Today more Brazilians immigrated to Japan than Peter's mother did.,,,
9,2,illusion,non-repeatable,more,noellip,justme,Today more Brazilians immigrated to Japan than Peter's mother immigrated to the USA.,,,
9,3,illusion,non-repeatable,fewer,ellipsis,justme,Today fewer Brazilians immigrated to Japan than Peter's mother did.,,,
9,4,illusion,non-repeatable,fewer,noellip,justme,Today fewer Brazilians immigrated to Japan than Peter's mother immigrated to the USA.,,,
9,5,control,non-repeatable,more,ellipsis,notjust,Today more Brazilians immigrated to Japan than Chileans did.,,,
9,6,control,non-repeatable,more,noellip,notjust,Today more Brazilians immigrated to Japan than Chileans immigrated to the USA.,,,
9,7,control,non-repeatable,fewer,ellipsis,notjust,Today fewer Brazilians immigrated to Japan than Chileans did.,,,
9,8,control,non-repeatable,fewer,noellip,notjust,Today fewer Brazilians immigrated to Japan than Chileans immigrated to the USA.,,,
10,1,illusion,non-repeatable,more,ellipsis,notjust,More 18-year-olds voted in this election than Amy's father did.,,,
10,2,illusion,non-repeatable,more,noellip,notjust,More 18-year-olds voted in this election than Amy's father voted in the last election.,,,
10,3,illusion,non-repeatable,fewer,ellipsis,notjust,Fewer 18-year-olds voted in this election than Amy's father did.,,,
